"","consumo","motor","cv","peso","acel","año","cilindr","origen"
"160",12,3687,95,1088,16,75,6,1
"161",13,4097,105,1153,16,75,6,1
"162",16,4097,72,1144,21,75,6,1
"163",16,4097,72,1052,19.5,75,6,1
"164",15,6555,170,1556,11.5,75,8,1
"165",16,5735,145,1480,14,75,8,1
"166",15,5211,150,1499,14.5,75,8,1
"167",17,5752,148,1552,13.5,75,8,1
"168",14,3785,110,1302,21,75,6,1
"169",15,4097,105,1299,18.5,75,6,1
"170",16,4228,110,1243,19,75,6,1
"171",13,3687,95,1261,19,75,6,1
"172",11,3785,110,1013,15,75,6,1
"173",12,4293,110,1073,13.5,75,8,1
"174",18,4949,129,1056,12,75,8,1
"175",8,1590,75,723,16,75,4,3
"176",10,2294,83,879,17,75,4,1
"177",12,3802,100,971,16,75,6,1
"178",10,2294,78,864,18.5,75,4,1
"179",10,2196,96,900,13.5,75,4,3
"180",9,1475,71,741,16.5,75,4,2
"181",10,1950,97,848,17,75,4,3
"182",13,2802,97,994,14.5,75,6,1
"183",8,1475,70,645,14,75,4,2
"184",12,3802,90,1070,17,75,6,1
"185",10,1885,95,898,15,75,4,2
"186",10,1966,88,985,17,75,4,2
"187",11,1983,98,981,14.5,75,4,2
"188",9,1983,115,890,13.5,75,4,2
"189",7,1491,53,598,17.5,75,4,3
"190",8,1753,86,821,15.5,76,4,2
"191",9,1901,81,740,16.9,76,4,2
"192",9,2294,92,857,14.9,76,4,1
"193",9,1606,79,751,17.7,76,4,1
"194",9,1655,83,734,15.3,76,4,2
"195",13,4998,140,1405,13,76,8,1
"196",15,5211,150,1396,13,76,8,1
"197",15,4982,120,1320,13.9,76,8,1
"198",16,5752,152,1405,12.8,76,8,1
"199",11,3687,100,1077,15.4,76,6,1
"200",11,4097,105,1117,14.5,76,6,1
"201",10,3277,81,1004,17.6,76,6,1
"202",10,3802,90,1028,17.6,76,6,1
"203",8,1393,52,678,22.2,76,4,1
"204",10,1606,60,721,22.1,76,4,1
"205",8,1475,70,645,14.2,76,4,2
"206",7,1491,53,598,17.4,76,4,3
"207",12,3687,100,1217,17.7,76,6,1
"208",13,4097,78,1191,21,76,6,1
"209",13,4097,110,1215,16.2,76,6,1
"210",13,4228,95,1064,17.8,76,6,1
"211",8,1590,71,608,12.2,76,4,2
"212",7,1393,70,663,17,76,4,3
"213",8,1590,75,718,16.4,76,4,3
"214",9,2294,72,855,13.6,76,4,1
"215",12,2130,102,1050,15.7,76,4,2
"216",18,5211,150,1313,13.2,76,8,1
"217",12,1966,88,1090,21.9,76,4,2
"218",12,2556,108,976,15.5,76,6,3
"219",14,2753,120,1273,16.7,76,6,2
"220",14,5735,180,1460,12.1,76,8,1
"221",18,5735,145,1351,12,76,8,1
"222",18,4949,130,1290,15,76,8,1
"223",18,5211,150,1251,14,76,8,1
"224",7,1606,68,681,18.5,77,4,3
"225",8,1819,80,718,14.8,77,4,1
"226",7,1295,58,608,18.6,77,4,2
"227",9,1999,96,766,15.5,77,4,1
"228",7,1393,70,648,16.8,77,4,3
"229",13,4998,145,1293,12.5,77,8,1
"230",14,4261,110,1353,19,77,8,1
"231",15,5211,145,1380,13.7,77,8,1
"232",16,4949,130,1431,14.9,77,8,1
"233",13,4097,110,1173,16.4,77,6,1
"234",12,3785,105,1141,16.9,77,6,1
"235",12,3687,100,1210,17.7,77,6,1
"236",13,4097,98,1175,19,77,6,1
"237",15,6555,180,1406,11.1,77,8,1
"238",15,5735,170,1388,11.4,77,8,1
"239",15,6555,190,1441,12.2,77,8,1
"240",15,5752,149,1445,14.5,77,8,1
"241",8,1590,78,646,14.5,77,4,2
"242",10,2474,88,913,16,77,4,1
"243",9,1590,75,755,18.2,77,4,3
"244",9,2294,89,918,15.8,77,4,1
"245",8,1606,63,683,17,77,4,1
"246",7,1606,83,691,15.9,77,4,1
"247",8,1590,67,661,16.4,77,4,3
"248",8,1590,78,730,14.1,77,4,2
"249",11,2393,97,938,14.5,77,6,3
"250",11,1983,110,866,12.8,77,4,2
"251",11,1311,110,906,13.5,77,3,3
"252",5,1475,48,661,21.5,78,4,2
"253",7,1606,66,600,14.4,78,4,1
"254",7,1278,52,661,19.4,78,4,3
"255",6,1393,70,690,18.6,78,4,3
"256",7,1491,60,600,16.4,78,4,3
"257",12,4261,110,1121,15.5,78,8,1
"258",12,5211,140,1245,13.2,78,8,1
"259",12,4949,139,1190,12.8,78,8,1
"260",12,3785,105,1178,19.2,78,6,1
"261",12,3277,95,1051,18.2,78,6,1
"262",12,3277,85,988,15.8,78,6,1
"263",9,2294,88,906,15.4,78,4,1
"264",12,3687,100,1143,17.2,78,6,1
"265",12,3802,90,1070,17.2,78,6,1
"266",11,3785,105,1126,15.8,78,6,1
"267",11,3277,85,1023,16.7,78,6,1
"268",13,3687,110,1206,18.7,78,6,1
"269",13,4228,120,1136,15.1,78,6,1
"270",12,4998,145,1141,13.2,78,8,1
"271",13,3785,165,1148,13.4,78,6,1
"272",13,4949,139,1068,11.2,78,8,1
"273",13,5211,140,1360,13.7,78,8,1
"274",8,1606,68,718,16.5,78,4,1
"275",9,2196,95,853,14.2,78,4,3
"276",9,1950,97,766,14.7,78,4,3
"277",8,1721,75,743,14.5,78,4,1
"278",11,2196,95,838,14.8,78,4,3
"279",10,2556,105,915,16.7,78,4,1
"280",10,2474,85,951,17.6,78,4,1
"281",10,1950,97,801,14.9,78,4,3
"282",12,2147,103,943,15.9,78,5,2
"283",14,2671,125,1046,13.6,78,6,2
"284",11,1983,115,931,15.7,78,4,2
"285",15,2671,133,1136,15.8,78,6,2
"286",7,1458,71,663,14.9,78,4,2
"287",8,1606,68,711,16.6,78,4,3
"288",11,3785,115,1081,15.4,79,6,1
"289",12,3277,85,996,18.2,79,6,1
"290",11,2294,88,963,17.3,79,4,1
"291",12,3802,90,1088,18.2,79,6,1
"292",11,3687,110,1120,16.6,79,6,1
"293",14,4998,130,1280,15.4,79,8,1
"294",13,4949,129,1241,13.4,79,8,1
"295",14,5752,138,1318,13.2,79,8,1
"296",13,5211,135,1276,15.2,79,8,1
"297",14,5735,155,1453,14.9,79,8,1
"298",15,5752,142,1351,14.3,79,8,1
"299",12,4375,125,1201,15,79,8,1
"300",13,5899,150,1313,13,79,8,1
"301",7,1458,71,641,14,79,4,2
"302",7,1409,65,658,15.2,79,4,3
"303",7,1606,80,638,14.4,79,4,1
"304",9,1983,80,890,15,79,4,1
"305",9,2999,77,1176,20.1,79,5,2
"306",10,5735,125,1300,17.4,79,8,1
"307",9,2311,71,1063,24.8,79,4,2
"308",10,4261,90,1140,22.2,79,8,1
"309",7,1721,70,733,13.2,79,4,1
"310",7,1721,70,716,14.9,79,4,1
"311",7,1393,65,673,19.2,79,4,3
"312",6,1491,69,710,14.7,79,4,2
"313",8,2474,90,890,16,79,4,1
"314",8,2835,115,865,11.3,79,6,1
"315",9,2835,115,900,12.9,79,6,1
"316",7,2474,90,852,13.2,79,4,1
"317",6,1606,76,714,14.7,80,4,2
"318",6,1458,60,656,18.8,80,4,3
"319",7,1606,70,706,15.5,80,4,1
"320",6,1409,65,673,16.4,80,4,3
"321",8,2474,90,892,16.5,80,4,1
"322",9,2294,88,956,18.1,80,4,1
"323",10,2474,90,1001,20.1,80,4,1
"324",12,3687,90,1127,18.7,80,6,1
"325",7,1590,78,729,15.8,80,4,2
"326",8,2196,90,903,15.5,80,4,3
"327",8,1966,75,847,17.5,80,4,3
"328",6,1950,92,811,15,80,4,3
"329",7,1770,75,755,15.2,80,4,3
"330",5,1409,65,703,17.9,80,4,3
"331",8,2556,105,933,14.4,80,4,1
"332",6,1393,65,703,19.2,80,4,3
"333",5,1475,48,695,21.7,80,4,2
"334",5,1475,48,778,23.7,80,4,2
"335",6,1983,67,983,19.9,80,5,2
"336",8,2393,67,1083,21.8,80,4,2
"337",5,1491,67,616,13.8,80,4,3
"338",6,1393,60,611,17.3,80,4,2
"339",7,1590,67,715,18,80,4,3
"340",8,1458,62,615,15.3,80,4,2
"341",7,2753,132,970,11.4,80,6,3
"342",10,1147,100,806,12.5,80,3,3
"343",7,1999,88,833,15.1,80,4,2
"344",10,2294,100,968,14.3,80,4,1
"345",7,1753,72,763,17,80,4,3
"346",9,2212,84,830,15.7,81,4,1
"347",9,2474,84,878,16.4,81,4,1
"348",9,2556,92,873,14.4,81,4,1
"349",10,2835,110,908,12.6,81,6,1
"350",8,2212,84,795,12.9,81,4,1
"351",6,1295,58,585,16.9,81,4,3
"352",6,1409,64,625,16.4,81,4,1
"353",7,1327,60,586,16.1,81,4,3
"354",7,1590,67,688,17.8,81,4,3
"355",6,1393,65,658,19.4,81,4,3
"356",6,1458,62,683,17.3,81,4,3
"357",7,1491,68,661,16,81,4,3
"358",7,1721,63,738,14.9,81,4,1
"359",7,1606,65,681,16.2,81,4,1
"360",8,1606,65,793,20.7,81,4,1
"361",7,1721,74,730,14.2,81,4,2
"362",7,1639,80,773,15.8,81,4,2
"363",7,1753,75,736,14.4,81,4,3
"364",7,1770,75,783,16.8,81,4,3
"365",7,1950,100,871,14.8,81,4,3
"366",7,1966,74,878,18.3,81,4,3
"367",8,2311,80,1076,20.4,81,4,2
"368",NA,1983,110,933,15.4,81,4,2
"369",8,2376,76,1053,19.6,81,6,2
"370",9,2753,116,966,12.6,81,6,3
"371",10,2393,120,976,13.8,81,6,3
"372",11,3785,110,1138,15.8,81,6,1
"373",9,5735,105,1241,19,81,8,1
"374",12,3277,88,1020,17.1,81,6,1
"375",13,3687,85,1155,16.6,81,6,1
"376",8,1835,88,868,19.6,82,4,1
"377",9,1835,88,880,18.6,82,4,1
"378",7,1835,88,798,18,82,4,1
"379",8,1835,85,858,16.2,82,4,1
"380",8,2212,84,841,16,82,4,1
"381",9,2474,90,911,18,82,4,1
"382",10,2294,92,955,16.4,82,4,1
"383",10,2474,100,1011,20.5,82,4,1
"384",7,1721,74,660,15.3,82,4,2
"385",6,1491,68,675,18.2,82,4,3
"386",8,1491,68,656,17.6,82,4,3
"387",6,1721,63,708,14.7,82,4,1
"388",7,1606,70,708,17.3,82,4,1
"389",7,1966,88,720,14.5,82,4,3
"390",7,1753,75,735,14.5,82,4,3
"391",7,1770,70,748,16.9,82,4,3
"392",6,1491,67,655,15,82,4,3
"393",7,1491,67,655,15.7,82,4,3
"394",6,1491,67,665,16.2,82,4,3
"395",9,2966,110,981,16.4,82,6,1
"396",6,4293,85,1005,17,82,6,1
"397",9,2556,92,861,14.5,82,4,1
"398",11,3802,112,945,14.7,82,6,1
"399",7,2360,96,888,13.9,82,4,3
"400",7,2212,84,790,13,82,4,1
"401",9,2474,90,983,17.3,82,4,1
"402",9,2294,86,930,15.6,82,4,1
"403",5,1590,52,710,24.6,82,4,2
"404",7,2212,84,765,11.6,82,4,1
"405",8,1966,79,875,18.6,82,4,1
"406",8,1950,82,906,19.4,82,4,1
