"ID","TARGET_D","GiftCnt36","GiftCntAll","GiftCntCardAll","GiftAvgLast","GiftAvg36","GiftAvgAll","GiftTimeLast","GiftTimeFirst","DemAge","DemGender","DemHomeOwner","DemMedHomeValue","DemPctVeterans","DemMedIncome"
7402,75,1,5,4,75,75,70,21,74,59,"F","H",291500,25,38563
12666,75,1,5,0,50,50,68.8,10,18,65,"M","H",86300,38,46518
5742,75,3,7,2,100,116.67,103.57,4,45,67,"F","H",291000,0,61461
156568,75,3,12,7,70,63.33,40.08,21,69,48,"U","U",302000,30,0
26924,60,2,4,2,50,37.5,23.75,18,69,68,"M","H",116600,0,78798
60490,60,1,12,8,45,45,17.33,19,113,45,"F","H",87400,37,64942
143936,55,2,2,1,40,32.5,32.5,17,28,46,"M","H",495600,31,86002
125277,53,5,11,6,52,52,36.36,21,64,63,"M","U",113600,26,76794
160972,53,3,13,10,47,44,28.54,17,130,78,"M","H",105300,48,53325
174576,51,1,4,3,36,36,30.75,24,52,49,"F","H",68100,28,49142
189130,51,1,6,4,36,36,20.83,18,89,69,"M","U",109400,23,56916
63436,51,2,3,2,15,15,11.67,22,52,67,"F","U",33300,33,0
20031,50,1,1,1,50,50,50,17,17,31,"F","U",75400,27,40669
136150,50,2,18,9,25,22.5,23.39,16,126,82,"F","H",98800,45,46194
130369,50,3,17,8,50,38.33,18.18,16,89,56,"F","H",101700,38,52954
134852,50,1,1,1,50,50,50,18,18,48,"M","U",73500,22,50138
1959,50,3,3,2,30,35,35,15,29,39,"F","H",267000,16,71604
164513,50,2,2,1,20,12.5,12.5,18,27,50,"F","H",0,33,0
91431,50,3,5,3,30,23.33,25,15,26,68,"F","H",119100,30,69583
30450,50,2,5,4,50,50,31,17,77,73,"F","H",115600,32,70174
176253,50,1,12,7,50,50,32.92,18,129,84,"F","H",150600,31,67561
14598,50,2,24,6,26,27.5,20.17,5,126,83,"M","H",51000,51,40364
14556,50,5,11,6,100,38,31.82,8,53,74,"M","H",92600,47,41338
66393,50,1,5,4,10,30,21,18,57,42,"M","H",60500,34,59000
64609,50,2,3,2,50,37.5,33.33,17,57,57,"F","H",85900,22,77130
166606,50,2,9,7,50,50,39.44,16,102,63,"F","H",177800,27,42955
144076,50,3,8,6,60,51.67,38.75,16,105,85,"M","H",598000,17,155586
133176,50,3,6,6,26,22.67,16.5,20,80,61,"U","U",211100,28,0
173805,50,5,8,7,10,9,8.88,16,56,82,"F","U",250600,34,59503
169955,50,2,12,9,50,50,28.75,18,116,73,"M","U",158800,41,45469
58597,50,4,9,8,50,36.25,25.11,21,105,80,"M","U",29500,0,0
175283,50,3,12,8,40,41.67,42.08,19,115,52,"F","H",102700,40,88383
107569,50,1,9,6,20,20,36.11,26,93,51,"M","H",44300,28,43932
147904,50,3,7,5,16,15,12.14,24,65,82,"F","H",498400,25,40701
114208,50,3,9,5,30,23.33,15.56,15,73,63,"M","U",39300,39,49614
103330,50,2,6,4,20,20,10.33,21,75,52,"F","H",91500,22,61313
144812,50,1,2,1,80,80,80,24,43,69,"M","H",360800,32,73833
121978,50,2,9,2,50,37.5,24.44,15,100,78,"M","H",69300,24,37566
62349,50,3,3,3,35,30,30,22,33,66,"M","H",64300,23,52514
112751,50,2,5,2,25,22.5,13.8,17,53,55,"F","H",101700,23,70143
146241,50,2,2,0,50,30,30,19,28,63,"M","H",319600,24,76749
97552,50,2,2,0,20,14,14,18,28,69,"F","U",22600,29,27438
79900,50,4,9,7,50,42.5,24.22,17,89,68,"F","U",61700,30,46202
31616,50,4,5,2,7,6.75,6.6,22,32,47,"F","H",55500,44,42797
180837,50,1,1,1,25,25,25,17,17,66,"M","H",103900,39,57363
64906,50,1,1,1,25,25,25,17,17,60,"F","H",64000,30,55716
186980,50,3,11,6,37,21.67,14.55,7,74,44,"M","U",107600,28,67668
1549,50,1,3,1,50,50,50,24,49,81,"M","U",586300,41,0
11562,50,1,13,8,50,50,32.31,15,123,72,"F","H",343500,29,51250
66219,50,1,5,1,50,50,35,17,75,40,"M","H",113900,28,67860
139107,50,2,6,3,75,87.5,52,18,75,63,"F","H",83000,28,33538
10489,50,3,27,10,40,20,10.41,15,103,75,"F","U",43700,36,0
121235,50,1,4,2,40,40,28.75,16,75,72,"M","H",194700,11,91815
125164,50,1,5,3,50,50,22.6,21,93,81,"F","H",58800,58,29469
71616,50,4,8,5,34,28,27.63,15,55,41,"M","U",50100,37,54375
5798,50,2,6,1,100,100,79.17,6,67,32,"U","U",87200,40,67852
181655,50,3,16,7,25,18.33,15.06,17,93,54,"M","H",95700,43,56535
41537,50,6,7,3,15,15.83,14.29,17,44,36,"F","U",74200,35,0
16863,50,3,4,4,25,18.33,15,16,44,64,"F","U",95100,10,73793
191056,47,1,6,2,32,32,28.83,26,44,17,"M","U",566700,28,52283
32622,47,1,6,3,37,37,23.83,18,92,17,"M","U",53300,35,0
8272,47,4,82,23,39,46.5,26.83,6,260,75,"F","H",44800,31,40411
149769,46,2,4,2,36,28.5,22.75,20,76,67,"F","U",217200,13,0
72308,46,2,8,6,21,23,19.25,25,91,77,"F","H",60900,31,57088
15668,45,1,3,2,20,20,9.33,26,68,56,"M","H",70700,27,40262
81823,45,1,1,1,25,25,25,24,24,57,"M","U",47000,30,0
166485,45,2,6,3,50,43.5,20.83,18,69,53,"M","H",182300,23,115631
119362,45,4,5,3,10,13.75,16,15,29,77,"F","H",171100,32,75326
166711,45,5,6,4,46,26.2,22.67,17,44,62,"F","H",67500,38,81700
129408,45,5,14,9,43,39.6,27.29,18,110,46,"M","H",81800,22,68352
146153,44,3,8,4,29,27,18.25,18,68,65,"F","H",144200,22,45373
11143,44,4,23,7,35,46,39,4,53,68,"M","H",42400,24,45561
139228,43,4,7,4,31,27.75,26.57,18,44,57,"M","H",108100,37,70893
107298,43,2,10,3,33,87.5,38,17,75,53,"F","U",0,24,0
82518,42,4,7,4,40,35.5,30.29,16,61,87,"M","H",90600,14,76519
25804,41,3,3,2,32,32.33,32.33,19,29,41,"M","H",127600,29,57094
128987,41,3,9,5,41,37.67,26.33,17,79,58,"F","H",124700,22,42710
133042,40,2,2,2,30,27.5,27.5,17,21,84,"M","H",42700,25,36133
140723,40,1,3,3,28,28,17.67,26,52,77,"M","U",72900,51,55375
142203,40,2,4,3,30,27.5,17.75,17,53,51,"F","H",102900,38,70227
894,40,10,34,12,21,19.4,17.06,4,64,57,"M","H",86000,40,48783
66265,40,2,12,7,25,25,20.42,23,105,52,"M","H",49700,36,50898
150497,40,2,2,0,25,17.5,17.5,15,27,20,"M","H",334300,37,62979
13523,40,2,4,1,25,20,14,18,56,56,"F","U",46300,36,28846
188896,40,1,1,0,25,25,25,15,17,65,"M","U",70500,33,37250
144351,40,2,13,10,25,22.5,11.46,21,126,61,"F","H",285500,17,47073
64650,40,2,2,2,30,26.5,26.5,24,33,64,"M","U",58700,21,46250
67147,40,1,6,5,23,23,9.17,18,104,36,"M","H",101100,31,67354
68618,40,3,31,15,10,28.33,17.23,18,128,63,"M","H",72600,26,57274
165385,40,2,8,6,40,37.5,29,17,93,82,"M","U",367500,29,134096
63104,40,3,15,13,32,26.33,12.8,16,127,51,"M","U",55100,37,59357
88886,40,1,3,1,25,40,35,18,44,43,"M","H",96200,32,72452
94884,40,1,3,1,35,35,30,18,57,54,"M","H",92700,23,53637
8863,40,1,5,2,25,25,18,20,57,42,"M","H",130700,35,61523
20065,40,2,7,3,24,32,20.86,25,77,44,"U","U",72200,28,0
163316,40,3,4,2,35,30,28.75,17,38,63,"M","H",476900,19,80063
186271,40,1,7,4,40,35,19.86,9,79,77,"M","H",352900,18,104720
1673,40,5,32,20,14,12.8,9.69,21,127,67,"F","H",103300,19,44032
142564,38,1,3,1,19,19,10.33,18,41,73,"M","H",194300,29,39013
155607,38,6,16,6,37,36.33,34,15,85,43,"F","H",315200,28,70541
29215,38,3,8,4,26,23.67,17.38,18,67,77,"F","U",92000,30,0
21885,38,2,18,9,38,38,27.28,26,119,75,"M","H",109500,38,49451
38632,38,12,45,24,20,20.67,13.51,16,129,47,"F","H",86000,23,56969
147406,38,3,17,12,25,28.67,30.94,18,105,69,"M","U",520900,27,0
177516,37,2,7,2,22,19,13.43,18,88,76,"M","H",71800,34,38523
152847,37,5,21,9,22,18.4,14.81,19,97,77,"M","H",279900,51,50607
74436,37,3,7,4,25,20.67,16,17,61,40,"M","H",42900,40,37726
129598,37,2,7,2,30,30,23.86,24,79,47,"M","U",75600,33,0
32485,37,3,12,6,25,21.67,11.67,15,104,61,"F","H",66300,40,42391
57092,36,3,6,5,40,34.67,23.67,16,52,44,"M","H",111000,33,46974
71744,36,2,8,6,25,24.5,17,17,105,86,"M","U",72700,19,61719
140464,36,2,2,1,27,21,21,16,19,45,"F","U",57300,24,38633
3763,36,8,17,7,25,26.5,48.53,4,69,75,"M","U",69400,38,0
168038,36,4,9,7,40,32.5,20,17,87,50,"M","H",593900,21,163017
169224,36,4,7,4,23,20.5,15.57,18,75,75,"F","H",117800,37,36238
148949,36,2,2,1,36,36,36,26,33,73,"F","H",179500,26,41190
93538,36,1,3,2,26,26,20.67,26,67,72,"F","H",43800,11,25265
168275,36,3,13,10,23,20,13.69,24,93,77,"U","H",337300,41,82099
403,35,1,10,4,35,20,33.5,7,83,58,"U","U",76500,0,60721
152816,35,2,3,0,20,17.5,15,25,31,65,"F","H",199000,31,50607
104442,35,2,6,3,35,32.5,23.33,19,74,51,"F","H",217200,25,60858
41445,35,1,2,0,20,20,17.5,26,35,45,"M","H",100700,26,61534
168535,35,1,3,3,35,35,25,25,77,43,"M","H",210300,9,68093
121640,35,1,1,1,20,20,20,17,17,33,"F","H",120500,18,84607
160178,35,2,9,4,25,25,12,26,91,79,"M","H",239900,26,58354
1371,35,3,5,2,20,20,20,19,53,75,"F","U",275300,30,0
150644,35,2,2,2,35,32.5,32.5,17,31,49,"F","H",330400,22,62979
74408,35,1,8,6,30,30,18.13,18,113,81,"M","H",29400,31,34159
44351,35,1,5,2,20,20,9.4,19,66,79,"M","H",94800,53,45651
166899,35,2,6,3,25,30,22.5,18,64,61,"F","H",215300,29,78646
64008,35,3,4,1,21,17,19,15,31,35,"M","H",88700,30,37546
16777,35,2,2,1,25,15,15,15,29,45,"F","H",96400,29,0
72851,35,2,19,14,30,27.5,13.11,19,129,85,"F","U",41700,28,43514
28681,35,1,5,2,25,25,9.8,26,81,50,"M","H",89600,36,43621
157295,35,1,13,9,30,30,11.54,21,105,82,"U","H",550000,19,88905
79702,35,1,2,1,25,25,20,18,39,39,"M","U",123200,23,88407
718,35,3,16,4,36,40.67,22.56,18,105,75,"F","H",121500,33,44440
9537,35,2,9,6,15,27.5,19.22,8,121,54,"F","H",75300,38,53357
163591,35,2,7,3,35,31,23.14,15,79,75,"M","U",391900,26,0
159721,35,1,11,6,20,20,11.36,23,123,59,"F","H",68300,25,36250
67954,35,3,4,2,25,18.33,16.25,17,33,66,"F","U",31300,16,50028
1925,35,3,3,2,25,18.33,18.33,23,33,72,"M","H",346100,41,57132
153319,35,1,1,1,20,20,20,20,20,51,"F","H",151000,33,47281
162254,35,2,6,3,25,22.5,19.17,18,104,39,"F","H",556400,34,145836
162687,35,3,5,0,24,20.33,15.4,18,44,57,"F","U",323800,24,104932
149433,35,2,17,8,30,28.5,15.18,18,128,76,"M","U",215900,31,0
178433,35,1,5,2,30,30,19.6,17,113,62,"M","H",60500,23,40563
13089,34,2,11,1,25,25.5,20.18,5,65,35,"F","H",78200,26,61835
27944,33,1,7,4,10,25,13.86,18,105,47,"F","U",68700,31,0
186807,33,1,2,0,25,23,24,7,16,50,"F","U",554400,28,0
268,33,8,21,7,35,25.88,22.38,8,87,37,"F","U",176500,50,61523
136607,32,2,16,12,25,27.5,14.63,18,128,75,"M","H",140200,43,85733
136049,32,4,16,9,30,26.5,19.63,19,127,78,"F","U",91300,60,0
73873,32,3,9,6,27,24,15.22,19,105,81,"M","U",111400,32,77218
7173,32,7,15,9,26,25.14,17.73,18,124,67,"F","U",85400,31,38328
99298,32,3,8,5,25,23.33,16.5,24,53,57,"M","H",70300,34,55923
37698,32,2,7,5,25,22.5,15.29,20,78,55,"M","U",90600,20,0
8989,32,5,26,15,16,14,10.5,15,123,83,"F","H",102400,44,57666
183193,31,3,15,7,16,12.67,9,16,75,39,"F","H",69600,40,51574
5074,31,1,17,8,26,26,22.88,24,115,80,"M","H",108900,40,47008
36460,31,5,5,2,25,24,24,19,33,75,"F","H",363700,34,34619
1254,30,1,3,1,25,25,25,26,56,49,"M","H",110200,22,76187
68563,30,2,2,2,25,22.5,22.5,21,23,61,"F","H",211900,24,138188
45367,30,1,1,1,25,25,25,23,23,32,"M","U",117200,38,0
102011,30,3,13,6,28,27,19.92,15,93,43,"F","U",57600,35,57228
23263,30,3,5,2,20,18.67,19.6,20,44,64,"F","U",49000,27,40705
145982,30,2,11,5,70,55,33,18,86,39,"F","U",205100,37,0
176409,30,2,10,6,20,15,12.4,20,91,56,"M","H",70900,45,46772
156224,30,2,2,1,30,26.5,26.5,26,33,50,"M","H",493300,73,35691
53753,30,2,13,7,20,20,15.85,19,99,44,"F","H",123900,37,94790
18836,30,2,9,5,25,20,10.89,20,128,60,"F","H",55200,34,43669
71427,30,1,4,2,19,19,16.5,26,77,42,"M","U",91400,28,41448
20401,30,2,6,4,20,22.5,16.17,26,57,65,"F","H",47600,22,41771
138590,30,2,6,1,20,15,12,18,49,44,"F","H",109400,35,82752
37762,30,2,2,1,25,14,14,18,29,63,"M","H",198700,22,27206
155382,30,0,20,7,15,0,15.85,26,97,64,"F","U",97800,39,32645
52549,30,3,9,5,25,20,13.11,16,77,42,"M","H",55600,32,35941
127166,30,7,23,13,20,25,18.48,18,128,71,"U","H",149000,23,97638
100640,30,2,7,3,29,30.5,25.57,15,65,36,"M","H",76400,45,64196
35325,30,1,7,6,30,30,12.14,15,119,79,"M","H",83300,41,49287
175708,30,2,2,1,25,25,25,18,32,55,"M","H",53200,65,47713
164989,30,2,8,6,20,17.5,13.38,23,53,65,"F","H",528700,41,121055
93334,30,2,2,1,30,27.5,27.5,18,24,50,"F","U",61900,27,40131
130426,30,1,1,1,25,25,25,16,16,26,"F","H",83100,28,46809
15349,30,1,1,0,20,20,20,19,19,75,"M","U",65100,30,0
112319,30,2,5,4,20,20,17,18,75,65,"F","U",89200,49,44526
181941,30,3,3,3,25,25,25,21,28,75,"F","U",55100,45,36538
63990,30,3,3,0,25,23.33,23.33,19,32,53,"M","U",43000,36,42507
174568,30,2,2,2,20,15,15,24,29,82,"F","H",77000,43,49142
79399,30,1,16,11,30,30,17.5,21,130,42,"M","U",48700,21,55086
26946,30,1,1,1,23,23,23,20,20,27,"F","H",167200,0,105806
100411,30,2,8,4,25,30,26.25,20,105,31,"M","H",73300,42,52582
95879,30,3,5,2,20,21.67,23,16,45,54,"F","H",36300,35,45055
54441,30,1,8,5,25,25,12.75,17,85,56,"F","H",46300,20,55190
152380,30,3,10,5,35,31.67,22.2,19,125,82,"M","H",232500,33,54152
142241,30,2,5,4,16,18,13.2,18,57,62,"F","H",236800,45,73713
44154,30,1,2,1,20,20,15,26,53,55,"F","U",138200,39,0
136721,30,2,2,2,25,22.5,22.5,20,29,63,"F","H",89100,26,51759
87939,30,1,7,3,25,25,13,18,75,7,"M","U",529400,29,0
102163,30,1,1,1,25,25,25,15,15,54,"F","H",82500,41,56157
157307,30,1,1,1,25,25,25,16,16,37,"M","H",325400,25,47580
125005,30,3,7,3,20,18,12.29,26,52,75,"F","H",49600,54,59069
46981,30,5,18,12,25,29,20.72,17,113,76,"M","U",95200,36,66514
12644,30,2,27,5,30,27.5,16.48,4,170,58,"M","H",68500,36,46006
90694,30,2,5,2,25,20,19.4,18,40,82,"F","H",140100,34,76673
16175,30,1,1,1,25,25,25,24,24,69,"F","U",44400,15,45566
67495,30,3,8,4,25,20,13.88,15,88,43,"F","H",91300,21,64385
109683,30,3,5,3,25,9.33,12.6,18,45,59,"F","U",64700,24,42281
162494,30,1,8,6,20,20,21.88,24,78,41,"M","U",237500,32,78892
173563,30,6,10,3,5,12.5,10.6,15,53,67,"F","H",202700,20,58689
55358,30,3,6,2,25,20,15.83,16,55,49,"F","H",42600,0,27418
171358,30,3,13,8,25,25,19.62,19,124,79,"M","H",263100,53,86625
167138,30,1,1,1,20,20,20,21,21,44,"F","H",212500,20,78418
122001,30,2,2,2,16,13,13,22,33,37,"M","H",59700,24,53360
30185,30,2,3,0,15,12.5,10,26,39,33,"F","U",74800,48,46174
68441,30,2,2,2,30,27.5,27.5,17,33,55,"F","H",34800,21,29143
35463,30,2,10,8,20,20,20,20,128,60,"M","H",102800,46,53710
52071,30,1,1,1,20,20,20,21,21,42,"F","U",42900,31,39399
67342,30,3,7,4,20,15,11.29,18,57,83,"M","U",88600,25,83609
13727,30,3,13,5,33,23.33,20.46,7,52,39,"F","U",67500,33,57358
15416,30,1,1,1,20,20,20,24,24,47,"M","H",85900,25,51013
9784,30,2,10,3,30,27.5,17.7,8,84,50,"M","U",84000,32,50504
38664,30,1,1,1,30,30,30,17,17,65,"M","H",102500,15,56250
67422,30,2,2,0,35,25,25,15,28,76,"F","H",47500,35,56710
6185,30,2,11,6,20,12.5,13.64,9,89,72,"F","H",225800,28,42822
147464,30,1,1,1,20,20,20,17,17,64,"M","H",228700,30,60896
89036,30,3,10,2,12,11.33,9.5,16,53,72,"F","U",189200,33,91659
113680,30,1,1,1,20,20,20,17,17,45,"M","H",33100,32,42708
154166,30,1,1,1,25,25,25,20,20,48,"U","H",115100,33,42299
116950,30,3,10,6,30,25,13,16,53,81,"F","U",63900,26,36142
7590,30,1,14,3,35,30,22.29,4,93,37,"F","U",68900,11,40197
177640,30,2,24,14,30,28.5,18.96,18,122,48,"M","H",60000,37,33281
26887,30,0,1,0,25,0,25,22,22,49,"F","H",91400,38,67625
168549,30,1,1,1,25,25,25,21,21,37,"F","H",335500,32,110423
93742,30,1,4,1,20,20,20,21,100,62,"F","H",56200,28,44965
155970,30,4,4,3,50,28.75,28.75,17,29,53,"F","H",155500,33,64506
121718,30,2,2,2,20,17.5,17.5,23,33,76,"M","H",113900,32,62316
190577,30,3,21,15,30,23.33,11.71,17,130,41,"F","U",78600,44,43093
117216,30,4,4,4,24,10.25,10.25,16,33,35,"F","H",61800,39,35439
126530,30,1,1,1,25,25,25,16,16,53,"M","H",36900,28,25184
150386,30,2,3,0,17,16,14,18,52,65,"F","U",192100,26,58078
19641,30,2,2,0,25,17.5,17.5,19,27,53,"F","H",56200,23,41391
57052,29,2,7,6,24,21,16.57,20,76,50,"U","H",68300,31,58413
26410,28,3,3,2,25,20.33,20.33,21,32,75,"F","H",82100,24,58698
176833,28,4,16,6,26,21.5,15.44,16,64,51,"F","U",63400,44,36745
31977,28,3,6,5,22,22.33,18.5,20,77,70,"F","H",151300,35,92425
100369,28,4,4,3,32,28,28,15,26,25,"F","U",98700,33,52582
157100,27,5,11,6,31,25.6,17.27,16,89,50,"F","U",255600,38,0
156437,27,1,1,1,15,15,15,16,16,63,"M","H",213000,16,47580
166521,27,2,5,3,25,20,18.2,18,56,50,"F","H",342200,17,119065
121937,27,5,9,4,25,25.6,22.56,15,56,72,"M","H",164500,23,88188
67315,27,2,8,5,30,27.5,20.25,18,81,77,"F","U",86200,24,83356
153353,27,3,5,3,30,25,18.2,18,52,70,"F","U",88500,8,0
182156,27,4,5,4,30,25,22,20,41,67,"F","H",98700,36,57666
45656,27,2,2,1,30,27.5,27.5,16,20,54,"M","H",56600,53,33707
88535,26,1,10,5,21,21,8.4,17,130,68,"M","H",236000,19,66090
52990,26,2,18,11,10,8.5,5,16,130,59,"M","H",92700,32,62218
31852,26,1,5,1,21,21,15.2,25,67,49,"F","H",98500,37,54217
22520,26,1,5,2,15,11,9.8,20,75,79,"M","U",42100,26,31786
74235,26,2,12,8,21,21,13.5,20,123,47,"M","H",47300,43,43261
57151,26,2,10,2,21,20.5,15.9,26,63,61,"F","U",87500,11,42819
165384,26,2,12,7,21,21,14.25,17,92,41,"M","H",525600,35,134096
120107,26,1,12,7,30,30,18.08,21,123,79,"M","U",22500,30,33594
174152,26,2,4,1,21,18,13,17,55,67,"F","H",337300,37,50016
106649,26,1,5,1,26,26,19.6,26,65,35,"F","H",82700,37,72781
17714,26,2,7,4,21,21,12.43,17,87,66,"F","H",77000,30,43231
63542,26,3,9,6,25,21.67,14.56,17,93,49,"F","H",44500,32,60290
138528,26,1,5,4,26,26,18.4,21,105,73,"M","H",72300,31,50065
38734,26,1,5,2,26,26,16,16,76,27,"F","H",197900,31,38906
163220,26,2,4,1,15,15,11.5,18,56,50,"U","H",582900,22,63972
153743,26,5,17,8,30,22.8,16.35,19,79,38,"M","H",132500,25,63407
31461,26,8,17,11,50,19.75,17.53,18,88,41,"F","H",75200,32,63159
178377,26,2,7,4,28,21.5,12.43,16,61,48,"M","H",183000,31,76431
162234,26,2,4,2,20,22,21,18,53,80,"M","H",554000,25,145836
124514,26,1,7,4,21,21,17.14,22,53,40,"F","H",57500,16,34609
157106,26,4,32,19,36,28,19.31,20,128,46,"F","H",588600,36,101793
103566,26,2,15,8,21,21,15.73,18,129,76,"M","H",41700,45,41084
137592,25,2,6,6,25,25,17.5,16,113,85,"M","H",0,0,63863
148523,25,1,1,1,15,15,15,16,16,79,"M","H",428600,26,92525
136428,25,1,11,6,25,25,15,20,96,50,"F","H",188700,61,60111
4638,25,3,32,10,25,25.33,25.84,10,104,73,"F","H",247300,32,72198
164372,25,4,10,5,21,17.75,14,16,69,42,"M","H",186100,23,78523
70493,25,1,17,8,25,25,12,24,112,87,"M","U",27900,44,0
141468,25,1,1,1,25,25,25,24,24,79,"M","H",100300,37,36193
35476,25,2,7,3,25,22.5,17.14,18,52,61,"M","H",62500,37,38082
152054,25,2,6,2,12,18.5,11.83,15,75,73,"F","H",229700,32,64192
15038,25,1,10,9,19,19,12.8,17,108,75,"M","U",84900,21,59500
92148,25,2,2,2,20,16.5,16.5,24,32,37,"M","U",141800,18,81157
109533,25,2,16,10,25,25,7.5,20,104,65,"M","H",57600,35,46146
37342,25,1,1,0,25,25,25,15,15,61,"F","H",80100,29,41764
14233,25,1,3,1,25,20,18.33,18,41,44,"M","U",30700,30,40941
86205,25,1,11,8,20,20,12.91,18,124,47,"F","H",52700,23,51969
133925,25,2,10,5,25,25,22,15,114,78,"M","H",60500,46,40563
123622,25,2,3,2,22,16,14,25,29,43,"M","H",35100,26,32351
34600,25,3,3,0,30,15,15,18,31,73,"F","U",82000,40,49337
111615,25,3,15,10,20,16.67,12.33,15,127,44,"F","H",35600,2,35175
32975,25,1,8,6,25,25,10.88,17,80,38,"M","H",64500,30,0
171397,25,3,5,3,25,23.33,29,16,45,35,"M","H",70900,48,51091
108976,25,2,16,8,25,25,13.75,21,121,59,"M","H",173000,0,85605
184011,25,2,6,3,50,50,37.5,17,104,82,"F","H",118300,42,30202
53893,25,0,1,0,25,0,25,19,19,65,"M","H",59300,32,32757
179275,25,3,5,1,16,12,9.2,20,52,52,"F","H",142400,39,67652
38471,25,2,9,8,12,11,13.78,17,128,47,"F","H",103300,0,58401
55442,25,1,6,5,15,15,9.17,21,81,72,"M","U",38200,22,28052
133229,25,3,4,2,25,15,12,18,41,47,"M","H",68100,32,44308
5321,25,4,9,3,25,25,25,8,44,43,"U","H",222000,29,66798
68750,25,1,2,1,25,25,25,26,52,70,"M","H",108900,23,66309
183858,25,3,5,2,20,20,16,21,41,49,"M","H",51100,56,44167
174375,25,1,1,1,25,25,25,20,20,39,"F","H",109300,32,66832
165102,25,1,1,1,25,25,25,24,24,75,"M","H",297300,36,72487
51846,25,2,16,10,20,20,15,19,130,42,"F","U",38600,34,0
24080,25,1,1,0,25,25,25,20,20,52,"M","U",47500,21,40882
90947,25,1,1,1,15,15,15,17,17,47,"F","H",56000,30,52613
173777,25,3,5,2,20,20.33,15.2,15,52,34,"F","H",84600,27,34375
152325,25,1,1,1,25,25,25,22,22,51,"M","H",172800,30,51240
16907,25,3,4,1,25,13,11,18,32,55,"F","U",79200,24,51462
133814,25,4,7,3,25,25,18.71,22,80,72,"M","H",65400,39,40107
4606,25,2,12,2,25,25,24.75,15,103,72,"U","U",104500,18,0
88489,25,2,11,10,30,27.5,17,16,124,67,"F","H",183300,24,107272
132256,25,1,1,1,20,20,20,20,20,46,"M","U",65000,33,0
2809,25,2,13,11,10,13.5,10.46,17,130,29,"F","H",121900,43,54028
13496,25,5,11,6,32,16,16.55,6,69,69,"F","H",322200,20,105109
148991,25,2,5,1,25,23.5,19.4,18,63,53,"F","H",320900,24,87748
184050,25,4,9,4,30,18,11.78,18,89,68,"M","H",42600,19,40080
45351,25,2,4,2,20,24.5,26,20,52,68,"F","U",96900,45,0
35181,25,3,16,12,32,24,20.88,18,121,65,"M","U",139500,32,0
38944,25,1,6,5,25,25,16.33,17,105,40,"M","H",80900,20,32229
153771,25,1,1,0,20,20,20,16,16,65,"F","H",211100,31,78995
3109,25,1,37,11,25,25,21.27,4,129,63,"M","H",100200,23,42375
36528,25,1,4,2,50,50,25,18,89,74,"F","H",93400,5,31141
1556,25,1,4,1,15,15,12.25,15,49,49,"F","U",216700,17,64579
169855,25,3,3,1,25,23.33,23.33,15,28,67,"M","H",381300,33,64579
35306,25,1,4,2,20,20,12.25,17,64,41,"F","H",83300,41,49287
2151,25,6,40,19,25,24.17,20.8,18,110,47,"M","H",112600,0,0
7836,25,5,26,9,20,30,24.12,8,81,75,"M","H",212300,30,61202
125593,25,3,9,5,25,25,24.44,15,113,81,"F","H",87600,24,78759
169703,25,8,31,20,7,5.13,3.49,17,125,82,"F","H",248600,34,57164
53078,25,3,5,3,25,21.67,19,24,44,44,"F","H",121700,18,75325
